slug,rating,roaster,name,location,origin,roast,est_price,review_date,agtron,aroma,acid,body,flavor,aftertaste,desc_1,desc_2,desc_3,cost_per_12_ounces_usd
https://www.coffeereview.com/review/asobombo-colombia-2/,94,JBC Coffee Roasters,Asobombo Colombia,"Madison, Wisconsin","Pitalito, Huila Department, Colombia",Light,$20.00/12 ounces,August 2024,63/85,9.0,9.0,9.0,9.0,8.0,"Bright, balanced, juicy. Guava, dark chocolate, almond nougat, narcissus, tangerine in aroma and cup. Sparkling, phosphoric acidity; vibrant, syrupy mouthfeel. Chocolaty, tropical finish.","Produced by smallholding members of the Asobombo Cooperative, entirely of the Pink Bourbon variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). JBC Coffee Roasters’ vision is simple: “Let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","A richly sweet-tart, high-toned Colombia Pink Bourbon that’s confident, and right so, as it hits all the notes, from tropical fruit and the top to dark chocolate at the bottom, with a complex mid-palate of spicy florals.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from ColombiaVisit JBC Coffee Roasters ",20.0
https://www.coffeereview.com/review/alto-lagunillas-by-wilson-sucaticona/,93,JBC Coffee Roasters,Alto Lagunillas by Wilson Sucaticona,"Madison, Wisconsin","Puno, Peru",Medium-Light,$20.00/8 ounces,August 2024,58/80,9.0,9.0,8.0,9.0,8.0,"Richly floral-toned, very sweet. Rhododendron, black cherry, fresh sugarcane, baking chocolate, hazelnut in aroma and cup. Malic (apple-like) acidity; lightly satiny mouthfeel. Finish consolidates to notes of rhododendron and baking chocolate.","Produced by Wilson Sucaticona, entirely of the Bourbon variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). JBC Coffee Roasters’ vision is simple: “Let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","A washed Peru cup that offers chocolaty sweetness, fruit finesse, and vanilla-like florals throughout the nuanced profile.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from PeruVisit JBC Coffee Roasters ",30.0
https://www.coffeereview.com/review/panama-hacienda-la-esmeralda-special-nano-geisha-gigante-washed-euphora-lot/,96,Euphora Coffee,Panama Hacienda La Esmeralda Special Nano Geisha Gigante Washed Euphora Lot,"Taipei, Taiwan","Boquete growing region, western Panama",Light,$90.00/4 ounces,August 2024,66/88,9.0,10.0,9.0,9.0,9.0,"Intricate, delicate, laser-focused. Lychee, bergamot, cocoa nib, lemongrass, myrrh in aroma and cup. Lyrically balanced, juicy, high-toned acidity; very smooth, viscous, silky mouthfeel. Long, lingering harmonious, resonant finish.","Produced at Hacienda La Esmeralda, entirely of the Geisha variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Euphora is a Taipei-based specialty coffee roaster with an active online community through which all sales are made. Visit www.euphoracoffeestudio.com for more information. ","A vivid exemplar of Panama’s ongoing Geisha prowess — this washed coffee is classically bright, intensely sweet, complexly floral, and quite nuanced in its multi-layered appeal.Explore Similar CoffeesClick here for more reviews from Euphora CoffeeClick here for more information about coffees from PanamaVisit Euphora Coffee ",270.0
https://www.coffeereview.com/review/costa-rica-las-lajas-black-diamond-bourbon/,95,Magnolia Coffee,Costa Rica Las Lajas Black Diamond Bourbon,"Charlotte, North Carolina","Sabanilla de Alajuela, Central Valley, Costa Rica",Light,$28.00/12 ounces,August 2024,72/102,9.0,9.0,9.0,9.0,9.0,"Very bright and juicy, tropical-leaning. Kiwi, lychee, dark chocolate, pikake flower, dried mandarin in aroma and cup. Vivid, expressively bright acidity; very full, syrupy-smooth mouthfeel. Fruity, chocolaty, very long and flavor-saturated finish that leads with notes of kiwi and dark chocolate.","Produced by Francisca and Oscar Chacon of Finca Las Lajas, entirely of the Bourbon variety of Arabica, and processed by natural method (dried in the whole fruit). Magnolia Coffee is a Charlotte, North Carolina-based specialty roaster whose mission is to use sustainably sourced coffees to make a difference in the lives of coffee workers and to foster a socially conscious community with cause-supporting coffees. Visit www.magnoliacoffeeco.com for more information. ","A juicy, fruit-forward, floral-toned Costa Rica natural that evokes the tropics with its sweet-tart profile — think kiwi, lychee, pikake flower — and satiating chocolaty-sweet cup.Explore Similar CoffeesClick here for more reviews from Magnolia CoffeeClick here for more information about coffees from Costa RicaVisit Magnolia Coffee ",28.0
https://www.coffeereview.com/review/biru-bekele-ethiopia/,93,JBC Coffee Roasters,Biru Bekele Ethiopia,"Madison, Wisconsin","Guji Zone, Oromia Region, southern Ethiopia",Light,$22.00/12 ounces,August 2024,62/86,9.0,9.0,8.0,9.0,8.0,"Balanced, high-toned, multi-layered. Dried plum, genmaicha tea, lemon balm, candied violet, cocoa nib in aroma and cup. Sparkling acidity; crisp, satiny mouthfeel. Notes of dried plum and genmaicha tea are foregrounded in the pleasing finish.","Produced by smallholding farmers, from trees of local landrace varieties, and processed at the Biru Bekele Washing Station by the traditional washed method (fruit skin and pulp removed before drying). JBC Coffee Roasters’ vision is simple: “Let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",A savory throughline complicates this otherwise stone fruit- and cocoa-driven cup: a classic washed Ethiopia.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from EthiopiaVisit JBC Coffee Roasters ,22.0
https://www.coffeereview.com/review/finca-la-secreta-colombia-lychee-co-ferment/,93,JBC Coffee Roasters,Finca La Secreta Colombia Lychee Co-Ferment,"Madison, Wisconsin","Ciudad Bolivar, Antioquia, Colombia. ",Light,$22.00/8 ounces,August 2024,64/87,9.0,8.0,9.0,9.0,8.0,"Sweetly fruit-toned, crisply floral. Distinct lychee, freesia, baking chocolate, amber, pink peppercorn in aroma and cup. Briskly sweet acidity; crisp, syrupy mouthfeel. Chocolaty finish with notes of lychee and amber.","Produced by Juan Carlos Mejia of Finca La Secreta, entirely of the Caturra variety of Arabica, and processed by the anaerobic natural method (fermented in an oxygen-free environment), co-fermented with lychee, then dried in the whole fruit.. JBC Coffee Roasters’ vision is simple: “Let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","A uniquely composed, rich-toned, fruity Colombia processed by the anaerobic method with fresh lychee fruit added to the fermentation.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from ColombiaVisit JBC Coffee Roasters ",33.0
https://www.coffeereview.com/review/ethiopia-sidama-berry-mousse-natural-g1/,93,1980 CAFE,Ethiopia Sidama Berry Mousse Natural G1,"Tainan City, Taiwan","Sidamo, Ethiopia",Medium-Light,NT $500/227 grams,August 2024,59/81,9.0,8.0,9.0,9.0,8.0,"Berry-toned, richly sweet. Raspberry coulis, almond, green grape, freesia, cedar in aroma and cup. Gently brisk acidity; very full, syrupy mouthfeel. Finish consolidates to pretty notes of raspberry and almond.","Produced by smallholding farmers, entirely of local landrace varieties of Arabica, and processed by the natural method (dried in the whole fruit). 1980 Cafe is a Tainan City, Taiwan-based specialty coffee roaster. Visit www.1980cafetw.com for more information.","A cleanly fruit-forward, berry-driven Sidama natural supported by nut and spicy floral tones.Explore Similar CoffeesClick here for more reviews from 1980 CAFEClick here for more information about coffees from Ethiopia ",23.98
https://www.coffeereview.com/review/ethiopia-yirgacheffe-citrus-glow-washed-g1/,93,1980 CAFE,Ethiopia Yirgacheffe Citrus Glow Washed G1,"Tainan City, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Light,NT $480/227 grams,August 2024,65/83,9.0,9.0,8.0,9.0,8.0,"Cocoa-toned, gently fruity. Cocoa nib, red plum, caramel, tangerine, lemon verbena in aroma and cup. Bright, sweetly tart acidity; crisp, lightly satiny mouthfeel. Cocoa-driven finish with undertones of tangerine and lemon verbena.","Produced by smallholding farmers, entirely of local landrace varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). 1980 Cafe is a Tainan City, Taiwan-based specialty coffee roaster. Visit www.1980cafetw.com for more information.","Citrus and sweet herbs complicate this washed Ethiopia cup, harmonizing well with stone fruit and cocoa nib.Explore Similar CoffeesClick here for more reviews from 1980 CAFEClick here for more information about coffees from Ethiopia ",23.02
https://www.coffeereview.com/review/rwanda-kinini-village-2/,92,True Coffee Roasters,Rwanda Kinini Village,"Fitchburg, Wisconsin","Northern Provence, Rulindo District, Rwanda",Medium-Light,$22.99/12 ounces,August 2024,57/76,9.0,8.0,9.0,8.0,8.0,"Crisply chocolaty, berry-toned. Blackberry, hazelnut, baking chocolate, marjoram, fir in aroma and cup. Briskly sweet acidity; creamy-smooth mouthfeel. Chocolaty, sweetly herbaceous finish.","Produced by smallholding farmers of the Kinini Coffee Cooperative, entirely of the Bourbon variety of Arabica, and processed by the natural method (dried in the whole fruit).  True Coffee is a specialty roaster and cafe in Wisconsin whose motto is, “On a never-ending quest to bring you a great cup of coffee, by staying true to the bean.” Visit www.truecoffeeroasters.com for more information.","This natural-processed Rwanda offers a berry and chocolate throughline, supported by rich aromatic wood notes.Explore Similar CoffeesClick here for more reviews from True Coffee RoastersClick here for more information about coffees from Rwanda ",22.99
https://www.coffeereview.com/review/ethiopia-kayon-mountain-natural-6/,92,Noble Coffee Roasting,Ethiopia Kayon Mountain Natural,"Ashland, Oregon","Odo Shakiso District, Guji Zone, southern Ethiopia",Light,$23.00/12 ounces,August 2024,66/89,9.0,8.0,8.0,9.0,8.0,"Crisply sweet, quietly confident. Dried plum, baking chocolate, hazelnut, brown sugar, lily in aroma and cup. Briskly sweet, citrusy acidity; velvety-smooth mouthfeel. Finish centers around notes of dried plum and baking chocolate.","Produced by the Hassen family at their estate farm in the Guji Zone of southern Ethiopia from local landrace varieties of Arabica, and processed by the natural method (dried in the whole fruit). Based in southern Oregon, Noble Coffee Roasting is a wholesale and retail roasting company focused on quality, social responsibility and environmental awareness. Visit www.noblecoffeeroasting.com or call 541-488-3288 for more information.",An easygoing Ethiopia natural with notes of dried stone fruit and baking chocolate throughout the cup.Explore Similar CoffeesClick here for more reviews from Noble Coffee RoastingClick here for more information about coffees from Ethiopia ,23.0
